run_id,seed,gait_id,gait_name,vx_cmd,vy_cmd,wz_cmd,survived,survival_steps,survival_time_s,termination_reason,mean_vx_actual,mean_vy_actual,mean_wz_actual,mean_vx_error,mean_vy_error,mean_wz_error,mean_height,std_height,mean_roll,mean_pitch,mean_contact_frac,mean_contact_acc,mean_torque_norm,xy_drift_m,wall_time_s
0,0,0,bound,0.0,-0.4,-0.5,True,1000,10.0,timeout,0.2565,-0.065,-0.3632,0.2696,0.335,0.1522,0.3382,0.0092,0.0637,0.0529,0.4238,0.9628,28.9159,1.3611,7.574
1,1,0,bound,0.0,-0.4,-0.5,True,1000,10.0,timeout,0.2249,-0.0702,-0.3641,0.2508,0.3298,0.1426,0.3441,0.0096,0.0598,0.0434,0.4105,0.9605,27.5371,1.2244,7.574
2,2,0,bound,0.0,-0.4,-0.5,True,1000,10.0,timeout,0.2028,-0.0668,-0.368,0.2403,0.3332,0.1351,0.348,0.0097,0.049,0.0347,0.4063,0.9563,26.6278,1.0662,7.574
3,3,0,bound,0.0,-0.4,-0.5,True,1000,10.0,timeout,0.1958,-0.0678,-0.3682,0.2379,0.3322,0.1331,0.3498,0.0097,0.0472,0.0321,0.4063,0.9563,26.1548,1.0455,7.574
4,4,0,bound,0.0,-0.4,-0.5,True,1000,10.0,timeout,0.1951,-0.0672,-0.3702,0.2378,0.3328,0.1312,0.3501,0.0096,0.0461,0.0316,0.4063,0.9563,26.0654,1.0202,7.574
5,0,0,bound,0.0,-0.4,-0.25,True,1000,10.0,timeout,0.2326,-0.063,-0.1439,0.2504,0.337,0.1382,0.3382,0.0089,0.0622,0.0443,0.4183,0.9683,29.144,1.7015,7.651
6,1,0,bound,0.0,-0.4,-0.25,True,1000,10.0,timeout,0.1985,-0.0566,-0.1307,0.2343,0.3434,0.1284,0.3452,0.0092,0.0535,0.0339,0.4118,0.9618,27.7114,1.7133,7.651
7,2,0,bound,0.0,-0.4,-0.25,True,1000,10.0,timeout,0.1835,-0.0546,-0.1437,0.2289,0.3454,0.1132,0.3486,0.0093,0.0461,0.0292,0.4063,0.9563,26.8008,2.3763,7.651
8,3,0,bound,0.0,-0.4,-0.25,True,1000,10.0,timeout,0.181,-0.053,-0.1461,0.2297,0.347,0.1087,0.3504,0.0093,0.0441,0.0279,0.4063,0.9563,26.2698,2.3765,7.651
9,4,0,bound,0.0,-0.4,-0.25,True,1000,10.0,timeout,0.1801,-0.0523,-0.148,0.2296,0.3477,0.1069,0.3507,0.0093,0.0431,0.0273,0.4063,0.9563,26.1848,2.4537,7.651
