run_id,seed,gait_from,gait_from_name,gait_to,gait_to_name,vx_cmd,vy_cmd,wz_cmd,survived,survival_steps,survival_time_s,termination_reason,pre_mean_height,pre_mean_vx_error,pre_mean_contact_acc,trans_min_height,trans_max_vx_error,trans_max_roll,height_recovery_steps,vel_recovery_steps,post_mean_height,post_mean_vx_error,post_mean_contact_acc,post_mean_torque_norm,wall_time_s
0,0,0,bound,1,trot,0.0,0.0,0.0,True,1000,10.0,timeout,0.346,0.2472,0.9175,0.3233,0.4661,0.0553,0,34,0.3468,0.1893,0.9375,19.6787,1.055
1,1,0,bound,1,trot,0.0,0.0,0.0,True,1000,10.0,timeout,0.3485,0.2348,0.9075,0.317,0.4752,0.0491,0,1000,0.3467,0.1882,0.9375,19.7314,0.97
2,2,0,bound,1,trot,0.0,0.0,0.0,True,1000,10.0,timeout,0.3481,0.2201,0.91,0.319,0.4593,0.059,0,1000,0.3468,0.1892,0.9375,19.6762,1.005
3,3,0,bound,1,trot,0.0,0.0,0.0,True,1000,10.0,timeout,0.3479,0.2332,0.9075,0.3217,0.4341,0.0583,0,1000,0.3468,0.1877,0.9375,19.7036,0.958
4,4,0,bound,1,trot,0.0,0.0,0.0,True,1000,10.0,timeout,0.3473,0.2515,0.915,0.3197,0.5302,0.0468,0,25,0.3466,0.1842,0.9375,19.7623,1.011
5,0,0,bound,1,trot,0.6,0.0,0.0,True,1000,10.0,timeout,0.3506,0.1904,0.885,0.2925,0.1981,0.0696,31,1,0.3405,0.1084,0.9375,21.2942,0.991
6,1,0,bound,1,trot,0.6,0.0,0.0,True,1000,10.0,timeout,0.346,0.2221,0.9025,0.3145,0.2403,0.0764,0,6,0.3405,0.1084,0.9375,21.2944,1.074
7,2,0,bound,1,trot,0.6,0.0,0.0,True,1000,10.0,timeout,0.3501,0.2115,0.8575,0.2857,0.2715,0.0498,28,0,0.3405,0.1085,0.9375,21.2948,0.978
8,3,0,bound,1,trot,0.6,0.0,0.0,True,1000,10.0,timeout,0.3449,0.2151,0.86,0.3125,0.2367,0.0629,0,7,0.3405,0.1083,0.9375,21.2938,1.224
9,4,0,bound,1,trot,0.6,0.0,0.0,True,1000,10.0,timeout,0.3457,0.2215,0.9,0.3138,0.2331,0.0804,0,6,0.3405,0.1081,0.9375,21.292,1.271
10,0,0,bound,1,trot,1.2,0.0,0.0,True,1000,10.0,timeout,0.3432,0.5438,0.8825,0.3072,0.4735,0.0869,0,0,0.3352,0.3802,0.9225,23.5214,0.971
11,1,0,bound,1,trot,1.2,0.0,0.0,True,1000,10.0,timeout,0.3516,0.4575,0.8625,0.2954,0.6429,0.0741,27,1000,0.335,0.3839,0.925,23.5846,0.974
12,2,0,bound,1,trot,1.2,0.0,0.0,True,1000,10.0,timeout,0.3506,0.4098,0.9025,0.2885,0.5515,0.1318,35,0,0.3346,0.372,0.9187,23.5997,0.978
13,3,0,bound,1,trot,1.2,0.0,0.0,True,1000,10.0,timeout,0.3401,0.3834,0.8125,0.2718,0.6675,0.0716,30,1000,0.3351,0.3808,0.9225,23.5643,1.106
14,4,0,bound,1,trot,1.2,0.0,0.0,True,1000,10.0,timeout,0.3509,0.3997,0.9,0.3006,0.4828,0.1256,34,15,0.3352,0.3802,0.9225,23.5204,0.97
15,0,0,bound,1,trot,0.6,0.2,0.0,True,1000,10.0,timeout,0.3487,0.2318,0.9275,0.3042,0.2103,0.0642,1,0,0.3409,0.1107,0.9375,21.1329,1.032
16,1,0,bound,1,trot,0.6,0.2,0.0,True,1000,10.0,timeout,0.351,0.2001,0.9025,0.303,0.2501,0.0923,33,5,0.3409,0.1108,0.9375,21.1329,0.971
17,2,0,bound,1,trot,0.6,0.2,0.0,True,1000,10.0,timeout,0.3479,0.2356,0.9025,0.3015,0.2941,0.0639,30,5,0.3409,0.1109,0.9375,21.1328,1.049
18,3,0,bound,1,trot,0.6,0.2,0.0,True,1000,10.0,timeout,0.3439,0.2194,0.8575,0.3083,0.2775,0.0676,0,5,0.3409,0.1109,0.9375,21.1328,1.325
19,4,0,bound,1,trot,0.6,0.2,0.0,True,1000,10.0,timeout,0.3462,0.2204,0.8975,0.312,0.1902,0.0557,0,5,0.3409,0.1108,0.9375,21.1328,1.194
20,0,0,bound,2,hop,0.0,0.0,0.0,True,1000,10.0,timeout,0.346,0.2472,0.9175,0.2603,0.4661,0.0693,0,15,0.3135,0.2026,0.8862,24.6311,1.313
21,1,0,bound,2,hop,0.0,0.0,0.0,True,1000,10.0,timeout,0.3485,0.2348,0.9075,0.2567,0.4752,0.0421,0,14,0.3138,0.2032,0.885,24.5746,1.04
22,2,0,bound,2,hop,0.0,0.0,0.0,True,1000,10.0,timeout,0.3481,0.2201,0.91,0.2058,0.3983,0.0606,0,13,0.3136,0.2048,0.89,24.6155,1.102
23,3,0,bound,2,hop,0.0,0.0,0.0,True,1000,10.0,timeout,0.3479,0.2332,0.9075,0.2639,0.4248,0.0469,0,13,0.3138,0.201,0.8875,24.6239,1.104
24,4,0,bound,2,hop,0.0,0.0,0.0,True,1000,10.0,timeout,0.3473,0.2515,0.915,0.2503,0.5302,0.0516,0,15,0.3138,0.2004,0.875,24.5162,1.013
25,0,0,bound,2,hop,0.6,0.0,0.0,True,1000,10.0,timeout,0.3506,0.1904,0.885,0.2692,0.5234,0.0658,58,3,0.3149,0.1631,0.9025,25.0818,1.002
26,1,0,bound,2,hop,0.6,0.0,0.0,True,1000,10.0,timeout,0.346,0.2221,0.9025,0.1986,0.4022,0.077,0,5,0.3147,0.1626,0.9025,25.0012,1.004
27,2,0,bound,2,hop,0.6,0.0,0.0,True,1000,10.0,timeout,0.3501,0.2115,0.8575,0.2573,0.5397,0.0888,57,0,0.3146,0.1624,0.9062,25.1366,1.017
28,3,0,bound,2,hop,0.6,0.0,0.0,True,1000,10.0,timeout,0.3449,0.2151,0.86,0.1997,0.2624,0.0726,0,6,0.3146,0.1608,0.9062,25.1395,1.068
